1/2, -13/32
1/3, -98/243
1/4, -339/1024
1/5, -844/3125
1/6, -1745/7776
1/7, -3198/16807
1/8, -5383/32768
1/9, -8504/59049
1/10, -12789/100000
1/11, -18490/161051
1/12, -25883/248832
1/13, -35268/371293
1/14, -46969/537824
1/15, -61334/759375
1/16, -78735/1048576
1/17, -99568/1419857
1/18, -124253/1889568
1/19, -153234/2476099
1/20, -186979/3200000
1/21, -225980/4084101
1/22, -270753/5153632
1/23, -321838/6436343
1/24, -379799/7962624
1/25, -445224/9765625
1/26, -518725/11881376
1/27, -600938/14348907
1/28, -692523/17210368
1/29, -794164/20511149
1/30, -906569/24300000
1/31, -1030470/28629151
1/32, -1166623/33554432
1/33, -1315808/39135393
1/34, -1478829/45435424
1/35, -1656514/52521875
1/36, -1849715/60466176
1/37, -2059308/69343957
1/38, -2286193/79235168
1/39, -2531294/90224199
1/40, -2795559/102400000
1/41, -3079960/115856201
1/42, -3385493/130691232
1/43, -3713178/147008443
1/44, -4064059/164916224
1/45, -4439204/184528125
1/46, -4839705/205962976
1/47, -5266678/229345007
1/48, -5721263/254803968
1/49, -6204624/282475249
1/50, -6717949/312500000
1/51, -7262450/345025251
1/52, -7839363/380204032
1/53, -8449948/418195493
1/54, -9095489/459165024
1/55, -9777294/503284375
1/56, -10496695/550731776
1/57, -11255048/601692057
1/58, -12053733/656356768
1/59, -12894154/714924299
1/60, -13777739/777600000
1/61, -14705940/844596301
1/62, -15680233/916132832
1/63, -16702118/992436543
1/64, -17773119/1073741824
1/65, -18894784/1160290625
1/66, -20068685/1252332576
1/67, -21296418/1350125107
1/68, -22579603/1453933568
1/69, -23919884/1564031349
1/70, -25318929/1680700000
1/71, -26778430/1804229351
1/72, -28300103/1934917632
1/73, -29885688/2073071593
1/74, -31536949/2219006624
1/75, -33255674/2373046875
1/76, -35043675/2535525376
1/77, -36902788/2706784157
1/78, -38834873/2887174368
1/79, -40841814/3077056399
1/80, -42925519/3276800000
1/81, -45087920/3486784401
1/82, -47330973/3707398432
1/83, -49656658/3939040643
1/84, -52066979/4182119424
1/85, -54563964/4437053125
1/86, -57149665/4704270176
1/87, -59826158/4984209207
1/88, -62595543/5277319168
1/89, -65459944/5584059449
1/90, -68421509/5904900000
1/91, -71482410/6240321451
1/92, -74644843/6590815232
1/93, -77911028/6956883693
1/94, -81283209/7339040224
1/95, -84763654/7737809375
1/96, -88354655/8153726976
1/97, -92058528/8587340257
1/98, -95877613/9039207968
1/99, -99814274/9509900499
1/100, -103870899/10000000000
1/101, -108049900/10510100501
1/102, -112353713/11040808032
1/103, -116784798/11592740743
1/104, -121345639/12166529024
1/105, -126038744/12762815625
1/106, -130866645/13382255776
1/107, -135831898/14025517307
1/108, -140937083/14693280768
1/109, -146184804/15386239549
1/110, -151577689/16105100000
1/111, -157118390/16850581551
1/112, -162809583/17623416832
1/113, -168653968/18424351793
1/114, -174654269/19254145824
1/115, -180813234/20113571875
1/116, -187133635/21003416576
1/117, -193618268/21924480357
1/118, -200269953/22877577568
1/119, -207091534/23863536599
1/120, -214085879/24883200000
1/121, -221255880/25937424601
1/122, -228604453/27027081632
1/123, -236134538/28153056843
1/124, -243849099/29316250624
1/125, -251751124/30517578125
1/126, -259843625/31757969376
1/127, -268129638/33038369407
1/128, -276612223/34359738368
1/129, -285294464/35723051649
1/130, -294179469/37129300000
1/131, -303270370/38579489651
1/132, -312570323/40074642432
1/133, -322082508/41615795893
1/134, -331810129/43204003424
1/135, -341756414/44840334375
1/136, -351924615/46525874176
1/137, -362318008/48261724457
1/138, -372939893/50049003168
1/139, -383793594/51888844699
1/140, -394882459/53782400000
1/141, -406209860/55730836701
1/142, -417779193/57735339232
1/143, -429593878/59797108943
1/144, -441657359/61917364224
1/145, -453973104/64097340625
1/146, -466544605/66338290976
1/147, -479375378/68641485507
1/148, -492468963/71008211968
1/149, -505828924/73439775749
2/3, -58/243
2/5, -1338/3125
2/7, -6170/16807
2/9, -17626/59049
2/11, -39546/161051
2/13, -76538/371293
2/15, -133978/759375
2/17, -218010/1419857
2/19, -335546/2476099
2/21, -494266/4084101
2/23, -702618/6436343
2/25, -969818/9765625
2/27, -1305850/14348907
2/29, -1721466/20511149
2/31, -2228186/28629151
2/33, -2838298/39135393
2/35, -3564858/52521875
2/37, -4421690/69343957
2/39, -5423386/90224199
2/41, -6585306/115856201
2/43, -7923578/147008443
2/45, -9455098/184528125
2/47, -11197530/229345007
2/49, -13169306/282475249
2/51, -15389626/345025251
2/53, -17878458/418195493
2/55, -20656538/503284375
2/57, -23745370/601692057
2/59, -27167226/714924299
2/61, -30945146/844596301
2/63, -35102938/992436543
2/65, -39665178/1160290625
2/67, -44657210/1350125107
2/69, -50105146/1564031349
2/71, -56035866/1804229351
2/73, -62477018/2073071593
2/75, -69457018/2373046875
2/77, -77005050/2706784157
2/79, -85151066/3077056399
2/81, -93925786/3486784401
2/83, -103360698/3939040643
2/85, -113488058/4437053125
2/87, -124340890/4984209207
2/89, -135952986/5584059449
2/91, -148358906/6240321451
2/93, -161593978/6956883693
2/95, -175694298/7737809375
2/97, -190696730/8587340257
